date,pandas,python,ML,read_book,health,Meal,etc,active_time,sleep_time,total_time
21.02.22,0,0,13.5,1,1.5,2,0,18,6,24
21.02.23,0,0,13,1,1.5,2,0,17.5,6.5,24
21.02.24,0,0,13,1,1.5,2,0,17.5,6.5,24
21.02.25,0,0,14,1,1.5,2,0,18.5,5.5,24
21.02.26,0,0,8.5,1,1.5,2,1.5,14.5,9.5,24
21.02.27,0,0,7.5,1,2,2,6,18.5,5.5,24
21.02.28,0,0,8,1,1.5,2,4,16.5,7.5,24
